work_id,author_id,author_position,institutions,from_openalex
10.1109/tvcg.2024.3456353,A5065868869,7,"[""I25112270""]",True
10.1109/tvcg.2024.3456353,A5049830796,8,"[""I161127581""]",True
10.1109/tvcg.2024.3456353,A5083220583,9,"[""I2801919071"", ""I39422238""]",True
10.1109/tvcg.2024.3456352,A5070761053,1,"[""I98677209""]",True
10.1109/tvcg.2024.3456352,A5082796790,2,"[""I98677209""]",True
10.1109/tvcg.2024.3456352,A5048194226,3,"[""I98677209""]",True
10.1109/tvcg.2024.3456351,A5100712971,1,"[""I223532165""]",True
10.1109/tvcg.2024.3456351,A5009771339,2,"[""I223532165""]",True
10.1109/tvcg.2024.3456350,A5021497224,1,"[""I201448701""]",True
10.1109/tvcg.2024.3456350,A5026198819,2,"[""I201448701""]",True
10.1109/tvcg.2024.3456350,A5009763002,3,"[""I201448701""]",True
10.1109/tvcg.2024.3456350,A5090570042,4,"[""I201448701""]",True
10.1109/tvcg.2024.3456349,A5034666613,1,"[""I12912129""]",True
10.1109/tvcg.2024.3456349,A5092968364,2,"[""I12912129""]",True
10.1109/tvcg.2024.3456349,A5005364495,3,"[""I12912129""]",True
10.1109/tvcg.2024.3456349,A5061093749,4,"[""I12912129""]",True
10.1109/tvcg.2024.3456349,A5063230893,5,"[""I12912129""]",True
10.1109/tvcg.2024.3456348,A5023554677,1,"[""I81365321"", ""I4210138378""]",True
10.1109/tvcg.2024.3456348,A5107403663,2,"[""I81365321"", ""I4210138378""]",True
10.1109/tvcg.2024.3456348,A5008639441,3,"[""I81365321"", ""I4210138378""]",True
10.1109/tvcg.2024.3456348,A5048398447,4,"[""I4210138378"", ""I81365321""]",True
10.1109/tvcg.2024.3456348,A5049496836,5,"[""I87216513""]",True
10.1109/tvcg.2024.3456348,A5043659434,6,"[""I4210138378"", ""I87216513"", ""I81365321""]",True
10.1109/tvcg.2024.3456347,A5077450520,1,"[""I121883995""]",True
10.1109/tvcg.2024.3456347,A5066639486,2,"[""I121883995""]",True
10.1109/tvcg.2024.3456347,A5107131205,3,"[""I121883995""]",True
10.1109/tvcg.2024.3456347,A5034277315,4,"[""I204337017""]",True
10.1109/tvcg.2024.3456347,A5110321988,5,"[""I1343190059"", ""I145847075""]",True
10.1109/tvcg.2024.3456347,A5042080340,6,"[""I121883995""]",True
10.1109/tvcg.2024.3456346,A5103283733,1,"[""I20231570""]",True
10.1109/tvcg.2024.3456346,A5030429587,2,"[""I20231570""]",True
10.1109/tvcg.2024.3456346,A5073619125,3,"[""I100066346""]",True
10.1109/tvcg.2024.3456346,A5000474356,4,"[""I116953780""]",True
10.1109/tvcg.2024.3456346,A5100706689,5,"[""I17747738""]",True
10.1109/tvcg.2024.3456346,A5100425172,6,"[""I20231570""]",True
