institution_id,MacroCategory,n_papers,doi_list
I121883995,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2016.2598468"", ""10.1109/tvcg.2017.2745298"", ""10.1109/tvcg.2018.2865024"", ""10.1109/tvcg.2018.2865149"", ""10.1109/tvcg.2023.3326936""]"
I121883995,Flow Fields & CFD Visualization,5,"[""10.1109/tvcg.2013.154"", ""10.1109/tvcg.2014.2346752"", ""10.1109/tvcg.2023.3326525"", ""10.1109/tvcg.2024.3456186"", ""10.1109/tvcg.2024.3456347""]"
I121883995,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2014.2346260""]"
I121883995,Time Series & Temporal Patterns,2,"[""10.1109/tvcg.2013.173"", ""10.1109/tvcg.2014.2346578""]"
I121934306,Dimensionality Reduction & Multivariate Plots,15,"[""10.1109/tvcg.2012.195"", ""10.1109/tvcg.2014.2346575"", ""10.1109/tvcg.2014.2346979"", ""10.1109/tvcg.2015.2467758"", ""10.1109/tvcg.2016.2598588"", ""10.1109/tvcg.2018.2865264"", ""10.1109/tvcg.2019.2934802"", ""10.1109/tvcg.2020.3030338"", ""10.1109/tvcg.2020.3030372"", ""10.1109/tvcg.2020.3030443"", ""10.1109/tvcg.2021.3114796"", ""10.1109/tvcg.2024.3456305"", ""10.1109/vast.2010.5653598"", ""10.1109/vast.2011.6102445"", ""10.1109/vast.2011.6102461""]"
I121934306,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2019.2934556"", ""10.1109/tvcg.2023.3326904""]"
I121934306,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2019.2934261""]"
I121934306,Time Series & Temporal Patterns,2,"[""10.1109/tvcg.2024.3456391"", ""10.1109/vast.2012.6400486""]"
I121934306,VIS Literature & Bibliometrics,1,"[""10.1109/vast.2010.5653599""]"
I121980950,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2020.3030363""]"
I122140584,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2023.3326514""]"
I122411786,Diffusion MRI & Tractography,3,"[""10.1109/visual.1998.745294"", ""10.1109/visual.2002.1183799"", ""10.1109/visual.2003.1250425""]"
I122411786,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/tvcg.2018.2865147"", ""10.1109/vast.2008.4677353"", ""10.1109/visual.2000.885705"", ""10.1109/visual.2001.964524"", ""10.1109/visual.2001.964527"", ""10.1109/visual.2001.964529"", ""10.1109/visual.2002.1183773"", ""10.1109/visual.2004.102""]"
I122411786,Meshes & Volume Rendering,2,"[""10.1109/visual.2001.964562"", ""10.1109/visual.2004.47""]"
I122754148,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/infvis.2003.1249024""]"
I122991210,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2010.136""]"
I122991210,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/tvcg.2008.186"", ""10.1109/tvcg.2011.165"", ""10.1109/vast.2009.5332584"", ""10.1109/visual.1998.745285"", ""10.1109/visual.2000.885680"", ""10.1109/visual.2003.1250366"", ""10.1109/visual.2003.1250407"", ""10.1109/visual.2005.1532797""]"
I122991210,Meshes & Volume Rendering,1,"[""10.1109/visual.1993.398904""]"
I12315562,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2018.2864913""]"
