institution_a,institution_b,weight
I59270414,I84218800,2
I1343190059,I4210099593,2
I1290206253,I219193219,2
I2800297018,I4432739,2
I104914703,I4210101743,2
I1290206253,I139264467,2
I165779595,I2801239119,2
I165779595,I56590836,2
I129604602,I42894916,2
I203951103,I74801974,2
I153267046,I219193219,2
I219193219,I84218800,2
I4210163771,I95457486,2
I201448701,I95457486,2
I4388891828,I86519309,2
I76130692,I99041443,2
I1343190059,I4210098606,2
I1341412227,I4210087032,2
I1304256225,I135310074,2
I-1,I66946132,2
I102149020,I137902535,2
I145847075,I183935753,2
I183935753,I83019370,2
I4210126298,I4210153043,2
I112260969,I9736820,2
I35440088,I59105498,2
I1282311441,I145311948,2
I84218800,I99041443,2
I1282105669,I4210158342,2
I102502594,I1282105669,2
I2802619606,I62916508,2
I136199984,I223532165,2
I84218800,I926574661,2
I1291425158,I201448701,2
I111979921,I39422238,2
I4210159558,I75027704,2
I2800289517,I4210143490,2
I102134673,I4210104972,2
I4210143490,I926574661,2
I59553526,I76198965,2
I141945490,I2801851002,2
I223532165,I4210145671,2
I130442723,I223532165,2
I102322142,I2799411422,2
I130701444,I4210164937,2
I1290206253,I2801239119,2
I1291425158,I97018004,2
I137902535,I2801313472,2
I172675005,I4210119109,2
I200769079,I4210119109,2
I223532165,I4210104735,2
I1283103587,I72090969,2
I148283060,I3132238960,2
I1294671590,I98677209,1
I130769515,I17145004,1
I17145004,I20231570,1
I4210113003,I4210145761,1
I205237279,I24943067,1
I24943067,I76130692,1
I4210113003,I4210117238,1
I129774422,I135140700,1
I1294671590,I5593406,1
I1294671590,I76571253,1
I5593406,I76571253,1
I5593406,I66946132,1
I2802433978,I859038795,1
I5593406,I98677209,1
I66946132,I76571253,1
I66946132,I98677209,1
I76571253,I98677209,1
I1305444813,I57206974,1
I130701444,I16285277,1
I136199984,I2800935791,1
I2800935791,I76130692,1
I130701444,I4210102939,1
I175594653,I205783295,1
I139894009,I4210163771,1
I122140584,I157725225,1
I2802433978,I4432739,1
I131249849,I66946132,1
I207623266,I4210114081,1
I207623266,I66946132,1
I4210114081,I66946132,1
I17301866,I4210104735,1
I17301866,I84218800,1
I4210104735,I84218800,1
I161127581,I168635309,1
I4210113003,I99065089,1
I4210113003,I80605987,1
I168635309,I25112270,1
I168635309,I39422238,1
I200769079,I25254941,1
I168635309,I57206974,1
I25254941,I3132238960,1
I4210113003,I76130692,1
I25112270,I57206974,1
I39422238,I57206974,1
I200769079,I38877650,1
I206945453,I51441396,1
I38877650,I889458895,1
I32597200,I44202434,1
I1343190059,I2802433978,1
I2800444561,I4210102939,1
I122140584,I161127581,1
I131249849,I207623266,1
I1288783943,I204337017,1
I66946132,I74973139,1
I2801239119,I889458895,1
I123387679,I4210141702,1
I11662577,I1283103587,1
I200769079,I56590836,1
I4210138551,I4210146756,1
I4210138551,I51783024,1
I4210138551,I76198965,1
I136199984,I24603500,1
I24603500,I2801851002,1
I1288783943,I161548249,1
I1288783943,I66946132,1
I122140584,I39422238,1
I141945490,I51441396,1
I161548249,I66946132,1
I2800006345,I83019370,1
I1343871089,I55732556,1
I2801851002,I79510175,1
I2801851002,I99065089,1
I1287378978,I12912129,1
I1287378978,I74973139,1
I12912129,I74973139,1
I111979921,I97018004,1
I1289243028,I2613432,1
I58610484,I66946132,1
I148283060,I4387152675,1
I121883995,I4210127322,1
I56590836,I889458895,1
I102134673,I1306266525,1
I-1,I111979921,1
I-1,I201448701,1
I-1,I40347166,1
I1286329397,I57206974,1
I859038795,I97018004,1
I175594653,I97018004,1
I175594653,I859038795,1
I185261750,I4210163771,1
I277688954,I4210163771,1
I189158971,I204337017,1
I200769079,I76569877,1
I4210113369,I76569877,1
I76569877,I889458895,1
I143910747,I4210146756,1
I143910747,I51783024,1
I143910747,I76198965,1
I130828816,I4210163771,1
I126744593,I145311948,1
I1343190059,I4210137046,1
I102134673,I121883995,1
I130828816,I139894009,1
I102134673,I4210127322,1
I131249849,I4210114081,1
I4210123185,I55712492,1
I17974374,I33434090,1
I157773358,I200769079,1
I157773358,I889458895,1
I102502594,I223532165,1
I90727586,I99065089,1
I62318514,I91712215,1
I114027177,I2802236040,1
I1333535994,I188538660,1
I1333535994,I2802236040,1
I80605987,I99065089,1
I156087764,I2802999273,1
I1338135719,I185261750,1
I76130692,I80605987,1
I4210145761,I99065089,1
I100066346,I149768937,1
I100066346,I95674353,1
I149768937,I95674353,1
I4210145761,I80605987,1
I1290206253,I189712700,1
I1290206253,I848706,1
I189712700,I848706,1
I4210117238,I99065089,1
I142606810,I52669646,1
I149910238,I162714631,1
I149910238,I164389053,1
I102502594,I4210158342,1
I4210143841,I71920554,1
I38877650,I55712492,1
I4210092658,I97018004,1
I135310074,I59553526,1
I1299303238,I27837315,1
I76130692,I79510175,1
I201448701,I4210126360,1
I115752224,I4210131308,1
I201448701,I74775410,1
I168719708,I190082696,1
I1299303238,I27804330,1
I4210126360,I58610484,1
I4210126360,I74775410,1
I4210126360,I74973139,1
I58610484,I74775410,1
I173911158,I43579087,1
I74775410,I74973139,1
I100066346,I121797337,1
I4210103986,I4210113369,1
I4210103986,I99065089,1
I1343190059,I151201029,1
I145847075,I151201029,1
I151201029,I56858762,1
I111979921,I27804330,1
I2801851002,I4210092658,1
I2801851002,I97018004,1
I149910238,I79891267,1
I162714631,I164389053,1
I162714631,I79891267,1
I164389053,I79891267,1
I143804889,I183935753,1
I143804889,I39555362,1
I143804889,I40120149,1
