author_id,openalex_author_id_url,display_name,orcid,source
A5086732355,https://openalex.org/A5086732355,Donghao Ren,https://orcid.org/0000-0001-8666-7241,openalex
A5006087928,https://openalex.org/A5006087928,Dominik Moritz,https://orcid.org/0000-0002-3110-1053,openalex
A5034842879,https://openalex.org/A5034842879,Fred Hohman,,openalex
A5057253726,https://openalex.org/A5057253726,Trevor Manz,https://orcid.org/0000-0001-7694-5164,openalex
A5038027438,https://openalex.org/A5038027438,Fritz Lekschas,https://orcid.org/0000-0001-8432-4835,openalex
A5057193188,https://openalex.org/A5057193188,Evan Greene,,openalex
A5069196767,https://openalex.org/A5069196767,Greg Finak,https://orcid.org/0000-0003-4341-9090,openalex
A5100726571,https://openalex.org/A5100726571,Lixiang Zhao,https://orcid.org/0000-0001-6181-1673,openalex
A5107093497,https://openalex.org/A5107093497,Fuqi Xie,https://orcid.org/0009-0008-4728-9346,openalex
A5031886887,https://openalex.org/A5031886887,Hai‐ning Liang,https://orcid.org/0000-0003-3600-8955,openalex
A5102013894,https://openalex.org/A5102013894,Lingyun Yu,https://orcid.org/0000-0002-3152-2587,openalex
A5103278717,https://openalex.org/A5103278717,Peter Oliver,https://orcid.org/0009-0002-5090-6057,openalex
A5026074051,https://openalex.org/A5026074051,Eugene Zhang,https://orcid.org/0000-0003-4752-3119,openalex
A5100333760,https://openalex.org/A5100333760,Yue Zhang,https://orcid.org/0000-0002-8467-2781,openalex
A5019781916,https://openalex.org/A5019781916,Fumeng Yang,https://orcid.org/0000-0002-8401-2580,openalex
A5101264201,https://openalex.org/A5101264201,Mandi Cai,,openalex
A5004299683,https://openalex.org/A5004299683,Chloe Mortenson,https://orcid.org/0000-0001-7180-8291,openalex
A5092538664,https://openalex.org/A5092538664,Hoda Fakhari,,openalex
A5049012090,https://openalex.org/A5049012090,Ayse D. Lokmanoglu,https://orcid.org/0000-0003-1699-2684,openalex
A5079222963,https://openalex.org/A5079222963,Nicholas Diakopoulos,https://orcid.org/0000-0001-5005-6123,openalex
A5030688487,https://openalex.org/A5030688487,Erik C. Nisbet,https://orcid.org/0000-0001-7030-6361,openalex
A5033315494,https://openalex.org/A5033315494,Vitória Guardieiro,https://orcid.org/0000-0003-1956-5418,openalex
A5113376026,https://openalex.org/A5113376026,Felipe Inagaki De Oliveira,,openalex
A5033801646,https://openalex.org/A5033801646,Harish Doraiswamy,https://orcid.org/0000-0003-2995-250X,openalex
A5011424640,https://openalex.org/A5011424640,Luís Gustavo Nonato,https://orcid.org/0000-0002-8514-8033,openalex
A5054533523,https://openalex.org/A5054533523,Zixin Chen,https://orcid.org/0000-0002-9707-8263,openalex
A5100404535,https://openalex.org/A5100404535,Jiachen Wang,https://orcid.org/0000-0001-9630-9958,openalex
A5035687843,https://openalex.org/A5035687843,Meng Xia,https://orcid.org/0000-0002-2676-9032,openalex
A5087236918,https://openalex.org/A5087236918,Kento Shigyo,https://orcid.org/0000-0002-5095-7500,openalex
A5053220954,https://openalex.org/A5053220954,Dingdong Liu,https://orcid.org/0000-0003-0985-0979,openalex
