institution_id,display_name,ror,type,country_code,country_name,world_region,city,region,latitude,longitude,homepage_url,works_count_openalex,cited_by_count_openalex,n_papers_dataset,n_authors_dataset,region_final
I1288882113,Boston Children's Hospital,https://ror.org/00dvg7y05,healthcare,US,United States,Americas,Boston,,42.358428955078125,-71.05976867675781,https://www.childrenshospital.org,110396,13879789,1,2,North America
I1289243028,Oak Ridge National Laboratory,https://ror.org/01qz5mb56,facility,US,United States,Americas,Oak Ridge,,36.01036071777344,-84.26963806152344,https://www.ornl.gov,124738,11504026,13,22,North America
I1289490764,Centers for Disease Control and Prevention,https://ror.org/042twtr12,other,US,United States,Americas,Atlanta,,33.749000549316406,-84.38797760009766,http://www.cdc.gov/,73898,15057061,1,2,North America
I1289530486,BC Cancer Agency,https://ror.org/03sfybe47,healthcare,CA,Canada,Americas,Vancouver,British Columbia,49.27635192871094,-123.16281127929688,http://www.bccancer.bc.ca/,14547,3557300,1,4,North America
I1290206253,Microsoft (United States),https://ror.org/00d0nc645,company,US,United States,Americas,Redmond,,47.67398834228515,-122.12151336669922,https://www.microsoft.com/en-us,31971,4235430,42,52,North America
I12912129,Northeastern University,https://ror.org/04t5xt781,education,US,United States,Americas,Boston,,42.358428955078125,-71.05976867675781,http://www.northeastern.edu/,70782,5884570,19,26,North America
I1291425158,Google (United States),https://ror.org/00njsd438,company,US,United States,Americas,Mountain View,California,37.42295455932617,-122.08406066894533,https://www.google.com/,53137,11789167,11,27,North America
I1292875679,Commonwealth Scientific and Industrial Research Organisation,https://ror.org/03qn8fb07,other,AU,Australia,Oceania,Canberra,,-35.2834587097168,149.12806701660156,http://www.csiro.au/,115796,9083518,5,7,Oceania
I1292974536,Ford Motor Company (United States),https://ror.org/00g2tkw06,company,US,United States,Americas,Dearborn,Michigan,42.29230117797851,-83.23442077636719,http://www.ford.com/,14108,959116,2,2,North America
I1294297726,Exploratorium,https://ror.org/0037yf233,archive,US,United States,Americas,San Francisco,California,37.80143356323242,-122.3975601196289,http://www.exploratorium.edu/,3055,50387,3,3,North America
I1294671590,Centre National de la Recherche Scientifique,https://ror.org/02feahw73,other,FR,France,Europe,Paris,,48.85340881347656,2.34879994392395,https://www.cnrs.fr,1225768,146410769,29,35,Europe
I1295339012,Boeing (United States),https://ror.org/04sm5zn07,company,US,United States,Americas,Chicago,,41.85002899169922,-87.6500473022461,http://www.boeing.com/,13360,408164,7,9,North America
I1295801184,Netherlands Institute for Neuroscience,https://ror.org/05csn2x06,facility,NL,Netherlands,Europe,Amsterdam,,52.37403106689453,4.889689922332764,https://nin.nl,7251,940444,1,1,Europe
I129604602,University of Sydney,https://ror.org/0384j8v12,education,AU,Australia,Oceania,Sydney,,-33.86785125732422,151.2073211669922,http://sydney.edu.au/,314068,26225642,4,5,Oceania
I1297288678,National Renewable Energy Laboratory,https://ror.org/036266993,facility,US,United States,Americas,Golden,,39.75553894042969,-105.22109985351562,http://www.nrel.gov/,32676,3742350,1,1,North America
I129774422,University of Vienna,https://ror.org/03prydq77,education,AT,Austria,Europe,Vienna,,48.20848846435547,16.372079849243164,https://www.univie.ac.at,155373,10080244,22,13,Europe
I1297991670,Southwest University of Science and Technology,https://ror.org/04d996474,education,CN,China,Asia,Mianyang,,31.46784019470215,104.68167877197266,https://www.swust.edu.cn,22700,923636,1,1,Asia
I1298353152,SRI International,https://ror.org/05s570m15,nonprofit,US,United States,Americas,Menlo Park,,37.45383071899414,-122.18218994140624,http://www.sri.com/,19792,1855973,2,3,North America
I1299022934,United States Department of Health and Human Services,https://ror.org/033jnv181,government,US,United States,Americas,Washington,,38.895111083984375,-77.03636932373047,http://www.hhs.gov/,8380,1444502,4,7,North America
I129902397,Dalhousie University,https://ror.org/01e6qks80,education,CA,Canada,Americas,Halifax,,44.6426887512207,-63.576881408691406,https://www.dal.ca,101342,6819004,2,4,North America
I1299303238,National Institutes of Health,https://ror.org/01cwqze88,government,US,United States,Americas,Bethesda,,38.98067092895508,-77.10025787353516,http://www.nih.gov/,288167,74795620,7,9,North America
