institution_id,macro_category,count,institution_name
I86122600,Visual Programming & ML,2,Numerical Algorithms Group (United Kingdom)
I86122600,Volume Rendering & Immersive Tech,1,Numerical Algorithms Group (United Kingdom)
I861853513,Network Security & Anomaltic,2,Sapienza University of Rome
I86501945,Social & Biomedical Analytics,1,University of Delaware
I86519309,Graph Visualization & Text Mining,3,The University of Texas at Austin
I86519309,Imaging & Display Technology,1,The University of Texas at Austin
I86519309,Molecular Simulation,1,The University of Texas at Austin
I86519309,Visual Programming & ML,1,The University of Texas at Austin
I86519309,Volume Rendering & Immersive Tech,9,The University of Texas at Austin
I865915315,Volume Rendering & Immersive Tech,1,Vrije Universiteit Amsterdam
I867387847,Imaging & Display Technology,1,"Associated Universities, Inc."
I86755215,High-Dimensional Data Analysis,1,MedStar Health
I8692664,Graph Visualization & Text Mining,1,University of Oklahoma
I8692664,High-Dimensional Data Analysis,1,University of Oklahoma
I8692664,Imaging & Display Technology,1,University of Oklahoma
I8692664,Social & Biomedical Analytics,2,University of Oklahoma
I8692664,Visual Programming & ML,2,University of Oklahoma
I8692664,Volume Rendering & Immersive Tech,1,University of Oklahoma
I86987016,Graph Visualization & Text Mining,1,KTH Royal Institute of Technology
I86987016,Topological Data Analysis,1,KTH Royal Institute of Technology
I86987016,Volume Rendering & Immersive Tech,1,KTH Royal Institute of Technology
I87097829,Imaging & Display Technology,1,University of North Carolina at Asheville
I87097829,Volume Rendering & Immersive Tech,1,University of North Carolina at Asheville
I87182695,Graph Visualization & Text Mining,1,Universidad del Noreste
I87182695,High-Dimensional Data Analysis,1,Universidad del Noreste
I87182695,Imaging & Display Technology,1,Universidad del Noreste
I87182695,Network Security & Anomaltic,1,Universidad del Noreste
I87182695,Volume Rendering & Immersive Tech,2,Universidad del Noreste
I87216513,Graph Visualization & Text Mining,1,Michigan State University
I87216513,Imaging & Display Technology,1,Michigan State University
I87216513,Network Security & Anomaltic,1,Michigan State University
I87216513,Social & Biomedical Analytics,2,Michigan State University
I87216513,Topological Data Analysis,1,Michigan State University
I87216513,Visual Programming & ML,3,Michigan State University
I87303767,Volume Rendering & Immersive Tech,1,U.S. Army Engineer Research and Development Center
I87354575,Visual Programming & ML,1,National Chengchi University
I87445476,Graph Visualization & Text Mining,1,Xi'an Jiaotong University
I87445476,Network Security & Anomaltic,1,Xi'an Jiaotong University
I87445476,Volume Rendering & Immersive Tech,1,Xi'an Jiaotong University
I880747138,Graph Visualization & Text Mining,1,Science Applications International Corporation (United States)
I880747138,High-Dimensional Data Analysis,1,Science Applications International Corporation (United States)
I880747138,Volume Rendering & Immersive Tech,2,Science Applications International Corporation (United States)
I88101031,Volume Rendering & Immersive Tech,1,Immersion (United States)
I887064364,Causality & Temporal Analysis,1,University of Amsterdam
I887064364,Graph Visualization & Text Mining,3,University of Amsterdam
I887064364,High-Dimensional Data Analysis,1,University of Amsterdam
I887064364,Imaging & Display Technology,1,University of Amsterdam
I887064364,Visual Programming & ML,1,University of Amsterdam
I88773910,Volume Rendering & Immersive Tech,1,Intuit (United States)
I887968799,Graph Visualization & Text Mining,1,RWTH Aachen University
I887968799,High-Dimensional Data Analysis,1,RWTH Aachen University
I887968799,Perception & Uncertainty Vis,1,RWTH Aachen University
I887968799,Volume Rendering & Immersive Tech,4,RWTH Aachen University
I888729015,Volume Rendering & Immersive Tech,1,University of Colorado Colorado Springs
I889458895,Causality & Temporal Analysis,1,University of Hong Kong
I889458895,Graph Visualization & Text Mining,27,University of Hong Kong
I889458895,High-Dimensional Data Analysis,12,University of Hong Kong
I889458895,Imaging & Display Technology,2,University of Hong Kong
I889458895,Molecular Simulation,1,University of Hong Kong
I889458895,Network Security & Anomaltic,3,University of Hong Kong
I889458895,Perception & Uncertainty Vis,2,University of Hong Kong
I889458895,Social & Biomedical Analytics,6,University of Hong Kong
I889458895,Visual Programming & ML,31,University of Hong Kong
I889458895,Volume Rendering & Immersive Tech,23,University of Hong Kong
I889804353,Graph Visualization & Text Mining,1,Robert Bosch (Germany)
I889804353,Visual Programming & ML,3,Robert Bosch (Germany)
I897549280,Imaging & Display Technology,1,Hologic (Germany)
I89864525,Graph Visualization & Text Mining,1,Universität Trier
I89864525,Volume Rendering & Immersive Tech,2,Universität Trier
I899635006,Graph Visualization & Text Mining,1,Université Grenoble Alpes
I899635006,Volume Rendering & Immersive Tech,1,Université Grenoble Alpes
I901242617,Graph Visualization & Text Mining,1,Zimmer Biomet (Switzerland)
I901403493,Volume Rendering & Immersive Tech,2,NuVasive (United States)
I90727586,Graph Visualization & Text Mining,3,Zhejiang University of Finance and Economics
I90727586,High-Dimensional Data Analysis,2,Zhejiang University of Finance and Economics
I90727586,Visual Programming & ML,2,Zhejiang University of Finance and Economics
I90727586,Volume Rendering & Immersive Tech,1,Zhejiang University of Finance and Economics
I90965887,High-Dimensional Data Analysis,2,SUNY Polytechnic Institute
I90965887,Social & Biomedical Analytics,1,SUNY Polytechnic Institute
I90965887,Visual Programming & ML,1,SUNY Polytechnic Institute
I90965887,Volume Rendering & Immersive Tech,1,SUNY Polytechnic Institute
I91045830,Imaging & Display Technology,3,Texas A&M University
I91045830,Visual Programming & ML,1,Texas A&M University
I91045830,Volume Rendering & Immersive Tech,3,Texas A&M University
I91090688,Social & Biomedical Analytics,1,University of Science and Technology Chittagong
I91136226,High-Dimensional Data Analysis,1,University of Sheffield
I91136226,Visual Programming & ML,1,University of Sheffield
I91203450,High-Dimensional Data Analysis,1,University of Haifa
I91203450,Imaging & Display Technology,1,University of Haifa
I91203450,Perception & Uncertainty Vis,1,University of Haifa
I91203450,Volume Rendering & Immersive Tech,1,University of Haifa
I9146737,High-Dimensional Data Analysis,1,University of South Carolina Lancaster
I91656880,Volume Rendering & Immersive Tech,1,China Medical University
I91712215,Imaging & Display Technology,1,Saarland University
I91712215,Volume Rendering & Immersive Tech,2,Saarland University
I91807558,Volume Rendering & Immersive Tech,1,National Cheng Kung University
I921990950,Imaging & Display Technology,1,University of Colorado Denver
I92446798,Perception & Uncertainty Vis,1,Colorado State University
I92528248,Graph Visualization & Text Mining,1,Qatar Foundation
