author_id,papers,citations,awards,author_name
A5006605050,1,32.0,0,R. Brunella
A5006661899,1,80.0,0,Micah Taylor
A5006696540,1,107.0,0,Zhanping Liu
A5006707199,1,42.0,0,Michael Mclennan
A5006720439,1,151.0,0,Hongfeng Yu
A5006730291,1,36.0,1,Erel Uziel
A5006732360,1,5.0,0,Joohee Kim
A5006761415,2,101.0,0,Rachel E. Clough
A5006773757,9,1162.0,2,Juliana Freire
A5006806369,1,41.0,0,David J. Muraki
A5006811000,1,30.0,1,Siji Chen
A5006834901,3,160.0,0,Deokgun Park
A5006862887,1,27.0,0,E. Petajan
A5006866152,1,25.0,0,Michael Granitzer
A5006873695,1,84.0,0,Philipp Weil
A5006918685,1,12.0,0,Gérard Medioni
A5006927336,1,17.0,0,M.j. Allison
A5006927908,1,18.0,0,K. Biolsi
A5006938634,1,18.0,1,Wen Zhong
A5006944801,1,62.0,0,Michael Bajura
A5006952014,11,327.0,2,Roger Crawfis
A5006952113,2,26.0,0,Katy Williams
A5006958527,1,115.0,1,Henk Bekker
A5006962854,1,11.0,0,Ivan Kolesár
A5006966951,3,332.0,0,Andreas Kerren
A5007035811,2,94.0,0,R. Sheehan
A5007037399,1,0.0,0,C. Gasparakis
A5007041759,1,53.0,0,José A. Iglesias-guitián
A5007045835,1,103.0,0,Paul Bendich
A5007056424,1,23.0,0,W Li
A5007123290,5,74.0,0,Kelly Gaither
A5007124763,2,812.0,1,Bill Howe
A5007130586,1,18.0,0,Zihan Yan
A5007170803,1,31.0,0,Marcus Handte
A5007172071,1,208.0,0,Oded Nov
A5007182829,1,3.0,0,N. Shareef
A5007208627,3,148.0,0,Wendy Cowley
A5007213740,1,6.0,0,Zhen Cao
A5007265753,2,82.0,0,Paul Klemm
A5007268824,1,23.0,0,A. Pang
A5007269349,1,18.0,0,Gökhan Sever
A5007319413,1,23.0,0,Michel Crampes
A5007331165,1,68.0,0,Joel W. Reed
A5007335034,1,13.0,0,John Cavallo
A5007386215,2,499.0,0,Mahima Pushkarna
A5007427468,1,31.0,0,Ik Soo Lim
A5007431711,2,30.0,0,Mathieu Malaterre
A5007432004,1,23.0,0,G. Aldering
A5007488557,1,10.0,0,Mete A. Sözen
A5007498387,1,4.0,0,Rebecca M. Brannon
A5007501711,1,30.0,1,Ladislav Čmolík
A5007549940,1,6.0,0,B. Corrie
A5007553875,2,54.0,0,Renfei Huang
A5007571956,1,17.0,0,Haochao Ying
A5007593199,1,64.0,0,Steve Skiena
A5007603754,1,8.0,0,Scott Davidoff
A5007613347,1,7.0,0,Dan Lipsa
A5007614889,1,4.0,0,Adam Hunter
A5007628057,6,173.0,0,Mario Jelović
A5007652511,1,2.0,0,Verena Lepper
A5007655142,1,12.0,1,Helen Ai He
A5007663639,1,39.0,0,Magdalena Boucher
A5007670828,2,46.0,0,Tom Abel
A5007690930,4,432.0,0,Ronell Sicat
A5007709486,2,117.0,0,Todd Gamblin
A5007720902,5,151.0,0,F. David Fracchia
A5007746762,1,4.0,1,Gabriela Molina León
A5007750024,1,19.0,0,Jian Zhang
A5007761892,2,144.0,1,Peter Lucas
A5007804127,1,19.0,0,Luis Ceferino
A5007804770,3,18.0,1,Sergej Stoppel
