work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/tvcg.2022.3209448,A5048194226,1,Benjamin Bach,,"[""I98677209""]","[""University of Edinburgh""]","[""GB""]","[""https://ror.org/01nrxwf90""]",True
10.1109/tvcg.2022.3209448,A5088494328,2,Euan Freeman,,"[""I7882870""]","[""University of Glasgow""]","[""GB""]","[""https://ror.org/00vtgdb53""]",True
10.1109/tvcg.2022.3209448,A5028328053,3,Alfie Abdul‐Rahman,,[],[],[],[],True
10.1109/tvcg.2022.3209448,A5065040154,4,Çağatay Turkay,,"[""I39555362""]","[""University of Warwick""]","[""GB""]","[""https://ror.org/01a77tt86""]",True
10.1109/tvcg.2022.3209448,A5015367289,5,Saiful Khan,,"[""I40120149""]","[""University of Oxford""]","[""GB""]","[""https://ror.org/052gg0110""]",True
10.1109/tvcg.2022.3209448,A5110816930,6,Yulei Fan,,"[""I40120149""]","[""University of Oxford""]","[""GB""]","[""https://ror.org/052gg0110""]",True
10.1109/tvcg.2022.3209448,A5100337178,7,Min Chen,,"[""I40120149""]","[""University of Oxford""]","[""GB""]","[""https://ror.org/052gg0110""]",True
10.1109/tvcg.2018.2865020,A5071560359,1,Ying Zhao,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2018.2865020,A5101659707,2,Feng Luo,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2018.2865020,A5100678189,3,Ming‐Hui Chen,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2018.2865020,A5101867156,4,Yingchao Wang,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2018.2865020,A5079986783,5,Jiazhi Xia,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2018.2865020,A5100736732,6,Fangfang Zhou,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2018.2865020,A5068526974,7,Yunhai Wang,,"[""I154099455""]","[""Shandong University""]","[""CN""]","[""https://ror.org/0207yh398""]",True
10.1109/tvcg.2018.2865020,A5100613649,8,Yi Chen,,"[""I179026463""]","[""Beijing Technology and Business University""]","[""CN""]","[""https://ror.org/013e0zm98""]",True
10.1109/tvcg.2018.2865020,A5100344494,9,Wei Chen,,"[""I76130692""]","[""Zhejiang University""]","[""CN""]","[""https://ror.org/00a2xv884""]",True
10.1109/tvcg.2017.2745078,A5010499463,1,Emily Wall,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
