author_id_1,author_id_2,weight
A5035443322,A5083735800,3
A5035687843,A5091466289,3
A5036072216,A5100331488,3
A5036072216,A5100377652,3
A5036072216,A5101789836,3
A5036300289,A5047827833,3
A5036300289,A5084778474,3
A5036489223,A5039968113,3
A5036489223,A5076551093,3
A5036489223,A5091363610,3
A5036489223,A5100624798,3
A5036489223,A5101880832,3
A5036688260,A5101994805,3
A5037110552,A5054382056,3
A5037110552,A5060664606,3
A5037110552,A5079916657,3
A5037161857,A5039256169,3
A5037161857,A5043391973,3
A5037161857,A5045378026,3
A5037161857,A5061957179,3
A5037161857,A5088150992,3
A5037161857,A5100344494,3
A5037161857,A5108737739,3
A5037161857,A5109181732,3
A5037161857,A5111832578,3
A5037162594,A5063230893,3
A5037495122,A5091300565,3
A5037675411,A5084575646,3
A5038027438,A5043151044,3
A5038027438,A5048194226,3
A5038564903,A5073986937,3
A5038588052,A5059565977,3
A5038629539,A5050632485,3
A5038629539,A5080127688,3
A5038629539,A5112771943,3
A5038775008,A5075947472,3
A5038943746,A5041484012,3
A5038943746,A5091130051,3
A5038943746,A5091466289,3
A5038943746,A5101683904,3
A5039180428,A5088223542,3
A5039343836,A5067830242,3
A5039517392,A5079085366,3
A5039517392,A5100660205,3
A5039541641,A5052151056,3
A5039541641,A5074955847,3
A5039626800,A5058028526,3
A5039626800,A5105697746,3
A5039822376,A5089688638,3
A5039910512,A5084707380,3
A5039942334,A5072700322,3
A5040337866,A5058956938,3
A5040374842,A5073619125,3
A5040794392,A5043151044,3
A5041404935,A5080292005,3
A5041421653,A5062703856,3
A5041421653,A5080438656,3
A5041484012,A5054749881,3
A5041484012,A5107858068,3
A5041617939,A5056104510,3
A5041828460,A5103084682,3
A5041828460,A5103725392,3
A5042382359,A5073919282,3
A5043045895,A5043405353,3
A5043151044,A5050126617,3
A5043151044,A5052337056,3
A5043151044,A5062859783,3
A5043151044,A5078536303,3
A5043151044,A5113517476,3
A5043312264,A5085342992,3
A5043391973,A5087561934,3
A5043405353,A5061839283,3
A5043545263,A5087545747,3
A5043672607,A5052208717,3
A5043852046,A5100728564,3
A5043852046,A5110208682,3
A5045105070,A5047134476,3
A5045224825,A5065645994,3
A5046501868,A5050064511,3
A5046501868,A5101564894,3
A5047677160,A5083989376,3
A5047713855,A5061059879,3
A5047827833,A5060664606,3
A5047912015,A5064480048,3
A5048194226,A5066335313,3
A5048635200,A5070670810,3
A5048647256,A5061059879,3
A5048743653,A5059452338,3
A5048780291,A5065630217,3
A5048992354,A5065040154,3
A5048992354,A5089220047,3
A5049050148,A5100404535,3
A5049241635,A5091300565,3
A5049441601,A5088977284,3
A5049577340,A5064306421,3
A5049577340,A5089451178,3
A5049587692,A5059655101,3
A5050064511,A5081622405,3
A5050064511,A5101564894,3
A5050064511,A5110208682,3
A5050632485,A5102902131,3
A5050640461,A5054793421,3
A5051025031,A5076532363,3
A5051526027,A5091466289,3
A5051526027,A5108098662,3
A5051696341,A5064020522,3
A5051696341,A5082668404,3
A5051696341,A5100745766,3
A5052151056,A5074955847,3
A5053349373,A5064480048,3
A5053349373,A5100654454,3
A5054382056,A5100624798,3
A5054749881,A5100349956,3
A5055175414,A5091466289,3
A5055472986,A5103205115,3
A5055472986,A5111944449,3
A5055992752,A5062185996,3
A5055992752,A5078317897,3
A5055992752,A5087146581,3
A5056214245,A5091144609,3
A5056438865,A5072400997,3
A5056438986,A5082668404,3
A5056999690,A5077712580,3
A5057961980,A5065699940,3
A5057961980,A5072243347,3
A5058158315,A5080292005,3
A5058360336,A5113743668,3
A5058364844,A5073986937,3
A5058364844,A5091466289,3
A5058364844,A5100653962,3
A5060363706,A5082213932,3
A5060608833,A5079085366,3
A5060664606,A5088016700,3
A5060664606,A5110631057,3
A5061059879,A5102013833,3
A5061311189,A5113555684,3
A5061454658,A5100607707,3
A5061859149,A5102023823,3
A5062185996,A5110208682,3
A5062463120,A5068367960,3
A5062463120,A5111244981,3
A5063965880,A5072700322,3
A5064018186,A5080615708,3
A5064018186,A5113922759,3
A5064306421,A5078755914,3
A5064306421,A5079272514,3
A5064306421,A5101728710,3
A5064931337,A5068008545,3
A5065034146,A5101908670,3
A5065040154,A5100337178,3
A5065310800,A5101815630,3
A5065630217,A5076622540,3
A5065630217,A5100358570,3
A5065630217,A5100669433,3
A5065630217,A5108096533,3
A5065644953,A5068526974,3
A5065644953,A5100745766,3
A5065699940,A5072243347,3
A5065868869,A5083220583,3
A5066087105,A5068805525,3
A5066087105,A5091379507,3
A5066335313,A5100609686,3
A5066369450,A5105978161,3
A5067631224,A5073919282,3
A5068008545,A5084668442,3
A5068076769,A5109234117,3
A5068367960,A5111244981,3
A5068526974,A5100410058,3
A5068526974,A5101880832,3
A5070670810,A5106723036,3
A5071098711,A5073919282,3
A5071898071,A5077191719,3
A5072594625,A5085358934,3
A5072594625,A5115590666,3
A5072697451,A5091630951,3
A5072700322,A5109928029,3
A5073619125,A5100425172,3
A5073919282,A5080987337,3
A5073919282,A5109232728,3
A5073986937,A5082790087,3
A5073986937,A5088672772,3
A5073986937,A5100358936,3
A5073986937,A5100400800,3
A5073986937,A5101769619,3
A5075295171,A5078317897,3
A5075947472,A5091466289,3
A5076947913,A5100344494,3
A5077191719,A5080591014,3
A5077191719,A5083989376,3
A5077191719,A5109345368,3
A5077204103,A5109928029,3
A5077712580,A5101522343,3
A5077783676,A5090570042,3
A5077955263,A5110208682,3
A5078390327,A5102902131,3
A5078390327,A5108439015,3
A5078565296,A5088672772,3
A5078565296,A5100344494,3
A5078987756,A5100333760,3
A5079916657,A5104038125,3
A5079916657,A5110327007,3
A5079986783,A5080765061,3
A5080127688,A5108439015,3
A5080615708,A5113922759,3
A5081082727,A5112795492,3
A5081346568,A5082213932,3
A5081346568,A5088199295,3
A5081456690,A5086223886,3
A5081622405,A5089451178,3
A5081622405,A5110208682,3
A5082213932,A5100681023,3
A5082598478,A5102022483,3
A5083454802,A5086036018,3
A5084575646,A5113555684,3
A5085358934,A5115590666,3
A5085748011,A5113478834,3
A5085890755,A5100344494,3
A5085906659,A5087146581,3
A5086223886,A5110321988,3
A5086311840,A5100455066,3
A5087146581,A5110208682,3
A5087146581,A5112562638,3
