AuthorAffiliation_clean,canonical_affiliation_en,canonical_method,canonical_match_score
"Bell Labs, Lucent Technologies, NJ, USA","Bell Labs, Lucent Technologies, NJ, USA",exact,100.0
"Bellcore, Morristown, NJ, USA","Bellcore, Morristown, NJ, USA",exact,100.0
"Ben-Gurion University of the Negev, Israel","Ben-Gurion University of the Negev, Israel",exact,100.0
"Berkeley Research Associates, Inc., Springfield, VA, USA","Berkeley Research Associates, Inc., Springfield, VA, USA",exact,100.0
"Bernhard Preims Visualization group, Germany","Bernhard Preims Visualization group, Germany",exact,100.0
"Bertrand AG, Munich, Germany","Bertrand AG, Munich, Germany",exact,100.0
"Beth Israel Deaconess Medical Center, USA","Beth Israel Deaconess Medical Center, USA",exact,100.0
"BieGraph Group, Bielefeld University, Germany","BieGraph Group, Bielefeld University, Germany",exact,100.0
"Bielefeld University, Germany","Bielefeld University, Germany",exact,100.0
"Bilkent University, Turkey","Bilkent University, Turkey",exact,100.0
"Bioinformatics Group, Department of Computer Science and Interdisciplinary Center for Bioinformatics, Universität Leipzig, Germany and Max Planck Institute for Mathematics in the Sciences, Germany","Bioinformatics Group, Department of Computer Science and Interdisciplinary Center for Bioinformatics, Universität Leipzig, Germany and Max Planck Institute for Mathematics in the Sciences, Germany",exact,100.0
"Bioinformatics Group, Department of Computer Science, University of Leipzig, Germany","Bioinformatics Group, Department of Computer Science, University of Leipzig, Germany",exact,100.0
"Biology and WID, University of Wisconisn–Madison","Biology and WID, University of Wisconisn–Madison",exact,100.0
"Biomed. Eng. Center, Ohio State Univ., Columbus, OH, USA","Biomed. Eng. Center, Ohio State Univ., Columbus, OH, USA",exact,100.0
"Biomedical Engineering Center, The Ohio State University, Columbus, OH","Biomedical Engineering Center, The Ohio State University, Columbus, OH",exact,100.0
"Biomedical Engineering Center, USA","Biomedical Engineering Center, USA",exact,100.0
"Biophysics Group, Los Alamos National Laboratory, Los Alamos, NM, USA","Biophysics Group, Los Alamos National Laboratory, Los Alamos, NM, USA",exact,100.0
Bloomberg L.P,Bloomberg L.P.,exact,100.0
"Blue Martini Software, USA","Blue Martini Software, USA",exact,100.0
"Board of Studies in Computer and Information Sciences, University of California, Santa Cruz, Santa Cruz, CA, USA","Board of Studies in Computer and Information Sciences, University of California, Santa Cruz, Santa Cruz, CA, USA",exact,100.0
"Body and Chassis Engineering, Ford Motor Company Limited, Dearborn, MI, USA","Body and Chassis Engineering, Ford Motor Company Limited, Dearborn, MI, USA",exact,100.0
"Boehringer Ingelheim RCV GmbH & Co KG, Austria","Boehringer Ingelheim RCV GmbH & Co KG, Austria",exact,100.0
"Boeing Company, Seattle, WA, USA","Boeing Company, Seattle, WA, USA",exact,100.0
"Boeing Computer Services, Inc., Seattle, WA, USA","Boeing Computer Services, Inc., Seattle, WA, USA",exact,100.0
"Boeing Computer Services, Research and Technology, Bellevue, WA, USA","Boeing Computer Services, Research and Technology, Bellevue, WA, USA",exact,100.0
"Boeing Information and Support Services, Research and Technology, Bellevue, WA, USA","Boeing Information and Support Services, Research and Technology, Bellevue, WA, USA",exact,100.0
"Boeing Information and Support Services, Seattle, WA, USA","Boeing Information and Support Services, Seattle, WA, USA",exact,100.0
Boeing Research & Development Europe,Boeing Research & Development Europe,exact,100.0
Bosch RTC,Bosch RTC,exact,100.0
Bosch Research North America,Bosch Research North America,exact,100.0
"Bosch Research North America, Palo Alto, CA","Bosch Research North America, Palo Alto, CA",exact,100.0
"Bosch Research North America, Sunnyvale","Bosch Research North America, Sunnyvale",exact,100.0
"Bosch Research North America, Sunnyvale, CA","Bosch Research North America, Sunnyvale, CA",exact,100.0
"Bosch Research North America, USA","Bosch Research North America, USA",exact,100.0
"Bosch Research North America, United States","Bosch Research North America, United States",exact,100.0
"Boston College, USA","Boston College, USA",exact,100.0
"Boston Scientific, USA","Boston Scientific, USA",exact,100.0
"Boston University and Scripps Institution of Oceanography, University of California, San Diego","Boston University and Scripps Institution of Oceanography, University of California, San Diego",exact,100.0
"Bowie State University, USA","Bowie State University, USA",exact,100.0
"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA","Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",exact,100.0
"Brandenburg University of Technology, Germany","Brandenburg University of Technology, Germany",exact,100.0
"Brian Lamb School of Communication, Purdue University, USA","Brian Lamb School of Communication, Purdue University, USA",exact,100.0
"Brigham Young University, Provo, UT, USA","Brigham Young University, Provo, UT, USA",exact,100.0
"Brigham Young University, USA","Brigham Young University, USA",exact,100.0
Brigham and Women's Hospital,Brigham and Women's Hospital,exact,100.0
"Brigham and Women's Hospital, Harvard Medical School","Brigham and Women's Hospital, Harvard Medical School",exact,100.0
"Brigham and Women's Hospital, Harvard Medical School, USA","Brigham and Women's Hospital, Harvard Medical School, USA",exact,100.0
"Brigham and Women's Hospital, Harvard Medical School, USA and Laboratory of Systems Pharmacology, Harvard Medical School, USA","Brigham and Women's Hospital, Harvard Medical School, USA and Laboratory of Systems Pharmacology, Harvard Medical School, USA",exact,100.0
"Brigham and Women's Hospital, USA","Brigham and Women's Hospital, USA",exact,100.0
"Broad Institute of MIT and Harvard, USA","Broad Institute of MIT and Harvard, USA",exact,100.0
"Brockhaven National Laboratory, Upton, NY, USA","Brockhaven National Laboratory, Upton, NY, USA",exact,100.0
Brookhaven National Laboratory,Brookhaven National Laboratory,exact,100.0
"Brookhaven National Laboratory, State University of New York, Stony Brook, USA","Brookhaven National Laboratory, State University of New York, Stony Brook, USA",exact,100.0
Brown University,Brown University,exact,100.0
"Brown University, Providence, RI, US","Brown University, Providence, RI, US",exact,100.0
